transaction_id,customer_id,merchant_id,transaction_date,amount,currency,transaction_type
103,134,26,2026-02-15,2618.23,TRY,transfer
104,961,83,2025-03-28,4084.62,TRY,refund
105,940,10,2025-01-23,6980.19,TRY,purchase
106,925,83,2026-03-31,5668.9,TRY,purchase
107,927,43,2025-05-06,318.02,TRY,refund
108,52,22,2026-08-11,3043.43,TRY,transfer
109,405,64,2025-01-31,2691.45,TRY,refund
110,177,46,2025-08-08,6359.96,TRY,refund
111,287,58,2025-06-02,261.85,TRY,transfer
112,632,32,2025-10-30,3502.26,TRY,transfer
113,491,8,2025-03-31,1972.84,TRY,purchase
114,430,26,2026-06-23,1759.05,TRY,transfer
115,814,3,2026-01-27,5477.77,TRY,refund
116,492,70,2026-05-12,2421.36,TRY,transfer
117,515,42,2026-02-02,1907.64,TRY,purchase
118,327,77,2025-08-13,224.54,TRY,refund
119,60,61,2026-06-27,2514.88,TRY,transfer
120,239,21,2025-04-13,1750.04,TRY,purchase
121,273,69,2025-02-27,5353.07,TRY,purchase
122,590,50,2025-12-30,6547.74,TRY,purchase
123,181,31,2026-08-30,2239.67,TRY,transfer
124,715,46,2026-08-29,216.88,TRY,transfer
125,361,73,2026-08-01,1011.87,TRY,purchase
126,857,64,2026-07-10,2177.19,TRY,refund
127,39,12,2025-02-27,1643.71,TRY,purchase
128,21,68,2026-05-05,24.77,TRY,transfer
129,207,17,2025-12-15,5024.22,TRY,refund
130,61,3,2025-06-01,4114.53,TRY,purchase
131,793,15,2026-06-23,6027.47,TRY,purchase
132,383,91,2026-02-10,4110.4,TRY,refund
133,310,42,2025-05-20,6831.51,TRY,transfer
134,972,56,2026-05-14,4551.28,TRY,purchase
135,725,72,2026-01-01,1578.2,TRY,transfer
136,835,23,2026-01-23,2161.63,TRY,transfer
137,302,17,2025-07-01,5107.24,TRY,transfer
138,972,74,2026-02-05,5958.28,TRY,transfer
139,34,24,2025-11-22,6448.85,TRY,transfer
140,227,82,2026-08-03,746.69,TRY,refund
141,145,43,2025-03-21,1681.21,TRY,refund
142,172,82,2025-04-01,5755.2,TRY,transfer
143,655,94,2025-12-10,3137.48,TRY,refund
144,215,32,2025-03-11,2466.36,TRY,purchase
145,738,1,2025-02-19,2713.84,TRY,transfer
146,430,22,2026-02-28,3461.71,TRY,refund
147,360,70,2026-01-20,727.97,TRY,refund
148,808,74,2025-08-19,1155.34,TRY,purchase
149,819,5,2025-10-29,160.14,TRY,refund
150,975,14,2025-03-17,2405.82,TRY,refund
151,165,94,2025-03-18,3838.38,TRY,purchase
152,347,77,2026-05-10,4937.44,TRY,refund
153,966,84,2025-06-18,4259.08,TRY,refund
154,161,7,2025-04-14,2331.04,TRY,purchase
155,420,90,2026-07-22,5059.83,TRY,transfer
156,554,34,2025-10-16,2095.86,TRY,purchase
157,51,51,2026-08-09,3856.65,TRY,refund
158,158,7,2026-01-05,46.63,TRY,purchase
159,302,85,2026-05-07,1413.73,TRY,purchase
160,212,22,2025-10-26,6839.86,TRY,refund
161,865,15,2025-11-12,5498.44,TRY,refund
162,501,85,2025-09-29,656.14,TRY,transfer
163,397,24,2026-01-15,6200.74,TRY,refund
164,192,58,2025-02-15,1857.81,TRY,refund
165,270,29,2025-10-03,3958.44,TRY,purchase
166,771,90,2025-04-10,618.24,TRY,refund
167,828,70,2026-02-28,6795.52,TRY,transfer
168,233,71,2025-03-04,5888.76,TRY,transfer
169,429,69,2026-05-02,4017.55,TRY,purchase
170,488,39,2025-03-22,2775.73,TRY,transfer
171,36,65,2026-08-08,6305.18,TRY,transfer
172,694,80,2025-05-31,859.57,TRY,refund
173,178,22,2025-08-05,5663.06,TRY,purchase
174,44,55,2025-03-22,6918.19,TRY,refund
175,207,81,2025-06-01,5842.07,TRY,refund
176,328,94,2025-03-10,627.45,TRY,transfer
177,407,71,2025-11-30,5999.24,TRY,transfer
178,470,2,2026-08-25,3667.48,TRY,refund
179,116,54,2025-06-03,1054.43,TRY,transfer
180,597,98,2025-04-13,6476.0,TRY,transfer
181,799,13,2025-10-20,6074.98,TRY,refund
182,899,53,2025-09-28,2693.64,TRY,refund
183,586,78,2026-04-30,281.51,TRY,refund
184,413,19,2026-02-16,290.7,TRY,refund
185,708,31,2025-02-20,5225.33,TRY,refund
186,919,48,2025-01-21,2378.31,TRY,refund
187,319,36,2026-05-19,6010.48,TRY,transfer
188,101,30,2025-05-18,2117.35,TRY,transfer
189,454,100,2025-11-25,1900.55,TRY,refund
190,620,83,2025-04-02,1331.79,TRY,purchase
191,936,53,2026-05-12,5321.26,TRY,refund
192,841,8,2026-06-12,5544.6,TRY,purchase
193,319,91,2026-06-03,2835.63,TRY,transfer
194,901,73,2025-01-30,1232.69,TRY,purchase
195,858,8,2025-09-13,250.84,TRY,purchase
196,941,47,2025-07-23,1932.36,TRY,refund
197,518,51,2025-05-07,4774.6,TRY,purchase
198,382,63,2026-09-01,3133.8,TRY,refund
199,601,71,2025-12-25,2422.86,TRY,refund
200,767,89,2025-04-03,2009.78,TRY,refund
201,51,21,2026-08-09,5463.21,TRY,purchase
202,878,29,2025-08-19,4750.31,TRY,refund
203,668,53,2026-06-10,159.97,TRY,transfer
204,10,61,2025-05-16,4538.65,TRY,transfer
205,821,2,2025-08-18,1781.69,TRY,refund
206,730,91,2025-10-09,2978.17,TRY,refund
207,873,45,2026-04-16,1778.95,TRY,refund
208,310,87,2026-06-18,5773.69,TRY,refund
209,599,14,2025-01-08,3590.37,TRY,transfer
210,990,48,2026-07-29,4538.45,TRY,transfer
211,290,39,2025-04-21,3382.53,TRY,refund
212,284,82,2025-11-29,6033.21,TRY,refund
213,672,92,2025-11-02,1334.75,TRY,transfer
214,784,31,2025-02-28,5641.9,TRY,transfer
215,414,85,2025-11-24,4771.68,TRY,transfer
216,27,84,2026-05-25,6982.33,TRY,refund
217,929,54,2026-02-19,2730.16,TRY,purchase
218,598,91,2026-08-09,5715.78,TRY,refund
219,744,92,2025-08-16,4810.5,TRY,transfer
220,804,61,2026-01-03,3561.06,TRY,purchase
221,861,85,2026-07-26,1284.33,TRY,purchase
222,483,17,2025-09-22,5081.8,TRY,transfer
223,782,24,2025-12-10,4587.95,TRY,purchase
224,364,29,2025-11-11,2954.9,TRY,refund
225,381,34,2026-08-23,2072.48,TRY,purchase
226,482,7,2026-08-21,4070.59,TRY,transfer
227,73,61,2025-07-19,3513.33,TRY,transfer
228,391,68,2025-11-02,2903.49,TRY,purchase
229,141,26,2025-12-17,2876.16,TRY,transfer
230,915,59,2025-05-27,2228.36,TRY,transfer
231,185,100,2025-03-24,3423.31,TRY,transfer
232,182,41,2025-03-01,52.9,TRY,refund
233,215,98,2025-06-22,4042.43,TRY,purchase
234,502,98,2025-04-01,923.25,TRY,refund
235,649,55,2026-02-18,3014.6,TRY,refund
236,393,1,2025-02-08,3745.8,TRY,transfer
237,383,2,2025-11-26,5302.8,TRY,transfer
238,196,3,2025-01-05,4394.27,TRY,purchase
239,232,89,2025-12-19,2198.4,TRY,purchase
240,393,65,2026-08-26,2156.68,TRY,purchase
241,844,6,2025-11-02,6640.27,TRY,refund
242,746,67,2026-06-21,2378.09,TRY,transfer
243,138,44,2026-05-17,2527.57,TRY,purchase
244,169,52,2025-01-20,1614.36,TRY,transfer
245,135,28,2025-01-23,4136.06,TRY,purchase
246,127,47,2025-02-08,2638.84,TRY,transfer
247,262,99,2026-07-02,4369.48,TRY,transfer
248,50,85,2025-04-21,4581.9,TRY,purchase
249,50,89,2025-04-29,2929.09,TRY,refund
250,127,71,2025-09-16,3331.29,TRY,purchase
251,211,89,2025-01-10,2121.79,TRY,transfer
252,104,85,2026-06-17,1904.44,TRY,transfer
253,718,18,2026-03-05,5817.96,TRY,purchase
254,524,93,2025-05-01,1993.29,TRY,purchase
255,510,26,2025-07-24,5450.15,TRY,transfer
256,997,26,2026-01-02,4929.99,TRY,refund
257,165,6,2026-07-16,3484.56,TRY,purchase
258,705,62,2025-12-05,1656.85,TRY,purchase
259,688,12,2025-04-24,5849.92,TRY,transfer
260,506,20,2025-04-03,5461.09,TRY,purchase
261,741,93,2025-04-14,6335.36,TRY,transfer
262,237,59,2025-10-31,1863.59,TRY,purchase
263,103,23,2025-02-10,5968.7,TRY,refund
264,821,87,2025-11-17,2993.45,TRY,purchase
265,98,98,2025-02-16,87.51,TRY,purchase
266,680,83,2025-06-24,2314.05,TRY,refund
267,979,80,2025-10-02,6151.76,TRY,purchase
268,382,44,2025-07-07,814.55,TRY,refund
269,986,59,2025-10-06,5853.24,TRY,transfer
270,872,62,2026-03-08,4548.95,TRY,purchase
271,116,17,2025-03-02,6871.35,TRY,purchase
272,107,54,2026-08-28,3389.07,TRY,transfer
273,695,57,2025-07-05,4287.04,TRY,refund
274,627,4,2025-05-14,3391.9,TRY,refund
275,116,53,2026-03-28,340.89,TRY,refund
276,671,41,2025-01-13,4937.89,TRY,transfer
277,538,99,2026-08-14,5071.94,TRY,purchase
278,979,86,2025-12-13,3643.32,TRY,transfer
279,718,80,2025-04-08,3041.28,TRY,transfer
280,255,62,2025-12-21,4652.7,TRY,transfer
281,395,20,2026-07-26,6246.59,TRY,transfer
282,56,2,2025-06-10,3548.86,TRY,refund
283,873,64,2025-06-19,542.56,TRY,refund
284,329,31,2025-12-05,6791.61,TRY,purchase
285,520,29,2026-07-18,4510.35,TRY,refund
286,837,31,2025-03-22,3224.48,TRY,transfer
287,459,12,2026-05-26,3140.54,TRY,purchase
288,510,96,2025-01-19,736.45,TRY,refund
289,37,72,2026-07-17,21.18,TRY,purchase
290,811,78,2025-11-08,6232.97,TRY,transfer
291,212,84,2026-04-13,6653.48,TRY,refund
292,846,7,2025-08-17,5913.34,TRY,refund
293,574,99,2026-04-30,5022.27,TRY,refund
294,734,58,2025-04-27,700.11,TRY,transfer
295,228,1,2025-12-16,2498.87,TRY,transfer
296,988,38,2026-07-15,3663.46,TRY,transfer
297,109,6,2025-06-18,3457.11,TRY,transfer
298,761,93,2026-02-24,766.59,TRY,transfer
299,201,25,2025-05-04,6512.91,TRY,refund
300,221,59,2025-07-15,5023.18,TRY,purchase
301,776,54,2025-02-17,6487.85,TRY,transfer
302,603,16,2026-04-07,3212.57,TRY,transfer
303,980,65,2025-05-18,6747.71,TRY,purchase
304,544,95,2025-02-19,3881.52,TRY,refund
305,859,75,2026-05-10,6472.11,TRY,purchase
306,709,75,2025-06-27,5118.85,TRY,purchase
307,107,50,2025-11-26,3538.69,TRY,refund
308,429,78,2025-09-12,1929.7,TRY,refund
309,994,38,2026-04-09,5637.48,TRY,purchase
310,423,78,2026-06-09,2106.41,TRY,transfer
311,561,41,2026-07-21,4435.43,TRY,purchase
312,215,80,2025-10-25,4812.55,TRY,transfer
313,136,91,2025-07-02,3537.18,TRY,transfer
314,653,42,2025-04-29,5330.21,TRY,transfer
315,492,75,2026-08-08,6599.86,TRY,transfer
316,428,87,2026-07-01,2015.78,TRY,refund
317,828,2,2026-06-20,763.16,TRY,refund
318,149,7,2025-02-27,1415.32,TRY,purchase
319,294,88,2025-09-14,1042.07,TRY,purchase
320,708,38,2025-07-28,5280.09,TRY,purchase
321,368,58,2025-04-15,4320.44,TRY,transfer
322,758,72,2025-08-18,5202.04,TRY,transfer
323,399,31,2026-06-08,5494.46,TRY,transfer
324,295,89,2025-02-18,6486.86,TRY,refund
325,427,88,2025-11-17,6761.52,TRY,purchase
326,14,96,2025-09-15,1437.55,TRY,refund
327,850,29,2026-01-12,5290.65,TRY,transfer
328,757,78,2025-07-21,5437.5,TRY,purchase
329,302,58,2025-07-01,6884.5,TRY,purchase
330,192,23,2026-06-11,853.09,TRY,purchase
331,439,36,2026-07-24,1864.39,TRY,purchase
332,599,33,2025-01-06,2327.33,TRY,transfer
333,960,20,2025-02-10,1092.85,TRY,refund
334,612,7,2025-11-05,3444.05,TRY,transfer
335,564,46,2025-03-16,5492.54,TRY,refund
336,539,29,2025-07-08,3653.83,TRY,transfer
337,164,54,2026-07-11,3768.51,TRY,purchase
338,358,29,2025-08-07,4650.07,TRY,refund
339,370,38,2025-08-12,6653.15,TRY,transfer
340,544,61,2026-07-29,5769.35,TRY,transfer
341,10,15,2025-12-21,3130.76,TRY,transfer
342,629,80,2025-09-07,6713.1,TRY,transfer
343,907,42,2026-01-26,6413.21,TRY,purchase
344,396,33,2026-07-08,5073.35,TRY,purchase
345,934,67,2026-01-19,3609.88,TRY,transfer
346,457,63,2025-02-14,2089.11,TRY,transfer
347,198,42,2026-06-11,594.77,TRY,purchase
348,172,99,2026-07-05,3741.78,TRY,transfer
349,68,27,2025-08-07,6057.36,TRY,refund
350,856,14,2025-07-30,3773.52,TRY,transfer
351,900,95,2026-03-22,4533.0,TRY,purchase
352,765,88,2025-06-07,185.8,TRY,transfer
353,340,5,2025-03-31,531.27,TRY,purchase
354,814,33,2026-07-26,511.69,TRY,purchase
355,933,34,2026-02-22,2728.47,TRY,transfer
356,415,56,2025-11-20,137.9,TRY,transfer
357,122,69,2025-01-07,4497.13,TRY,transfer
358,65,97,2026-08-23,337.71,TRY,purchase
359,367,65,2025-04-19,2043.06,TRY,transfer
360,309,78,2025-03-30,1984.99,TRY,refund
361,391,51,2025-02-01,3328.43,TRY,transfer
362,226,18,2026-02-05,5581.46,TRY,transfer
363,303,82,2025-05-28,2100.43,TRY,transfer
364,664,48,2025-01-12,3883.6,TRY,transfer
365,145,16,2025-02-12,55.11,TRY,transfer
366,404,69,2026-07-15,6629.92,TRY,refund
367,216,96,2025-12-19,1497.92,TRY,transfer
368,872,66,2025-05-26,1143.46,TRY,purchase
369,632,33,2025-07-18,820.07,TRY,transfer
370,819,73,2025-02-25,5962.69,TRY,transfer
371,473,83,2026-07-17,530.55,TRY,transfer
372,69,33,2025-04-11,1397.97,TRY,transfer
373,499,43,2026-01-01,914.94,TRY,transfer
374,241,13,2025-10-19,4344.22,TRY,purchase
375,326,63,2026-04-07,2311.86,TRY,transfer
376,314,89,2026-08-22,1083.72,TRY,transfer
377,374,41,2026-03-15,1197.1,TRY,refund
378,253,29,2026-03-23,1951.23,TRY,refund
379,138,87,2025-12-06,6147.64,TRY,refund
380,457,46,2025-11-09,3419.06,TRY,purchase
381,180,83,2025-03-25,5895.72,TRY,purchase
382,913,69,2025-07-21,1857.38,TRY,transfer
383,79,94,2025-03-19,6246.89,TRY,transfer
384,647,4,2026-08-19,4060.73,TRY,transfer
385,218,5,2026-07-19,1839.1,TRY,transfer
386,484,84,2025-06-02,2573.41,TRY,purchase
387,913,99,2026-08-27,5137.92,TRY,refund
388,138,60,2026-05-29,3582.68,TRY,refund
389,373,65,2025-01-11,4645.5,TRY,transfer
390,701,22,2026-06-11,999.79,TRY,purchase
391,184,73,2026-08-03,4622.7,TRY,purchase
392,754,94,2026-05-11,6575.44,TRY,purchase
393,225,98,2026-05-15,1637.61,TRY,refund
394,379,30,2025-02-13,4686.73,TRY,transfer
395,930,47,2026-02-02,3298.33,TRY,refund
396,903,6,2025-02-10,6864.52,TRY,refund
397,106,91,2026-06-18,4442.3,TRY,refund
398,855,95,2025-09-27,4058.85,TRY,transfer
399,179,49,2026-01-23,2569.77,TRY,transfer
400,920,10,2026-06-14,1776.07,TRY,purchase
401,529,52,2025-12-28,5724.31,TRY,refund
402,499,62,2025-01-07,3522.82,TRY,purchase
403,451,22,2025-08-24,558.08,TRY,transfer
404,288,28,2025-06-03,1324.6,TRY,refund
405,617,92,2025-05-02,4634.55,TRY,refund
406,831,43,2025-04-27,3380.99,TRY,refund
407,491,27,2026-08-28,1145.5,TRY,refund
408,23,32,2025-02-14,912.64,TRY,transfer
409,165,18,2026-06-09,293.55,TRY,transfer
410,151,8,2025-06-20,1822.65,TRY,purchase
411,530,52,2026-08-01,4470.61,TRY,transfer
412,746,85,2025-10-18,6631.83,TRY,purchase
413,460,78,2026-04-28,6073.77,TRY,purchase
414,225,53,2025-05-27,5566.42,TRY,purchase
415,639,85,2026-06-08,1866.35,TRY,transfer
416,703,44,2026-04-10,4183.8,TRY,purchase
417,236,49,2026-01-30,942.85,TRY,purchase
418,208,67,2026-06-01,4796.89,TRY,purchase
419,621,13,2025-07-01,3341.57,TRY,transfer
420,615,5,2026-06-29,3533.24,TRY,purchase
421,96,62,2025-05-14,6315.85,TRY,transfer
422,848,1,2026-03-18,3663.87,TRY,refund
423,896,6,2026-06-27,3014.11,TRY,refund
424,809,99,2026-01-26,2466.61,TRY,transfer
425,930,98,2026-08-13,702.06,TRY,purchase
426,261,62,2025-08-27,6372.4,TRY,purchase
427,291,77,2026-07-11,2872.35,TRY,purchase
428,6,91,2025-01-08,4054.35,TRY,purchase
429,533,1,2026-01-20,4588.73,TRY,transfer
430,824,41,2026-02-23,2548.64,TRY,purchase
431,437,84,2026-08-23,1790.36,TRY,transfer
432,434,73,2026-01-10,4290.93,TRY,transfer
433,407,97,2025-07-28,2904.33,TRY,transfer
434,495,23,2026-01-15,3922.47,TRY,refund
435,260,40,2026-08-15,2423.61,TRY,transfer
436,408,95,2025-05-22,5987.89,TRY,transfer
437,122,96,2025-08-24,3137.23,TRY,transfer
438,973,21,2025-04-13,1516.92,TRY,refund
439,805,44,2026-07-18,4305.9,TRY,transfer
440,724,7,2025-06-14,2735.94,TRY,transfer
441,6,12,2025-05-29,3312.25,TRY,transfer
442,446,12,2025-03-07,1856.38,TRY,refund
443,82,78,2025-02-08,5076.97,TRY,refund
444,629,84,2026-06-18,2019.56,TRY,transfer
445,59,100,2025-06-29,4489.23,TRY,refund
446,11,26,2026-06-15,2016.33,TRY,purchase
447,803,77,2026-06-07,3620.38,TRY,purchase
448,630,22,2025-02-06,2530.99,TRY,transfer
449,1,21,2025-03-30,6977.78,TRY,refund
450,362,86,2026-02-09,2850.05,TRY,purchase
451,531,2,2025-03-12,6435.86,TRY,transfer
452,292,93,2026-07-27,6406.76,TRY,refund
453,356,36,2025-08-20,4252.42,TRY,purchase
454,466,52,2026-08-12,52.47,TRY,purchase
455,417,65,2025-04-20,3919.24,TRY,transfer
456,302,44,2025-04-30,5624.54,TRY,refund
457,898,69,2026-08-12,1765.99,TRY,refund
458,990,49,2026-07-31,3395.74,TRY,purchase
459,776,44,2026-04-15,4777.53,TRY,transfer
460,883,4,2026-05-09,831.55,TRY,purchase
461,392,82,2025-08-14,4744.85,TRY,purchase
462,820,41,2026-02-27,6689.01,TRY,transfer
463,549,2,2025-09-27,1752.84,TRY,purchase
464,409,87,2025-12-17,550.68,TRY,purchase
465,488,41,2025-12-29,1545.59,TRY,transfer
466,276,24,2025-07-14,3503.02,TRY,purchase
467,241,95,2025-09-05,6111.74,TRY,purchase
468,235,26,2025-09-13,5857.62,TRY,refund
469,160,100,2025-04-20,856.75,TRY,purchase
470,693,85,2026-05-20,4304.51,TRY,transfer
471,981,6,2026-05-09,2610.95,TRY,refund
472,505,74,2025-10-09,3445.82,TRY,transfer
473,287,51,2025-08-16,5256.18,TRY,purchase
474,56,68,2026-03-10,3358.67,TRY,transfer
475,34,65,2025-12-22,2768.14,TRY,transfer
476,795,23,2026-04-14,6836.02,TRY,transfer
477,531,59,2025-11-20,4830.69,TRY,purchase
478,691,27,2026-01-24,4075.44,TRY,refund
479,371,79,2025-09-23,1326.32,TRY,refund
480,243,35,2026-04-28,6710.52,TRY,refund
481,375,24,2026-05-26,2979.12,TRY,refund
482,718,97,2026-01-17,2568.24,TRY,refund
483,287,58,2025-07-04,4008.44,TRY,transfer
484,703,30,2025-04-13,5051.29,TRY,purchase
485,569,56,2026-01-26,1388.52,TRY,transfer
486,154,61,2025-01-10,1252.72,TRY,refund
487,138,81,2026-06-14,3747.2,TRY,refund
488,805,63,2025-11-04,1771.8,TRY,transfer
489,49,51,2025-04-12,4839.99,TRY,purchase
490,221,33,2026-05-03,5876.02,TRY,purchase
491,461,96,2025-12-09,1833.19,TRY,refund
492,574,72,2025-09-21,2422.1,TRY,refund
493,125,45,2025-07-23,4046.44,TRY,transfer
494,665,69,2025-06-28,6856.02,TRY,refund
495,364,42,2026-06-07,3422.71,TRY,transfer
496,458,11,2026-01-26,4303.37,TRY,refund
497,647,19,2025-06-21,4491.25,TRY,refund
498,432,81,2026-08-09,2845.31,TRY,purchase
499,82,21,2025-12-18,1612.96,TRY,refund
500,669,38,2025-10-01,4245.59,TRY,refund
501,278,57,2026-01-07,5240.31,TRY,transfer
502,989,58,2026-02-28,1187.88,TRY,purchase
503,129,94,2025-08-29,4640.92,TRY,transfer
504,718,96,2025-03-23,1489.79,TRY,refund
505,106,13,2025-03-07,6558.82,TRY,refund
506,562,7,2025-01-27,5401.12,TRY,transfer
507,784,11,2025-04-17,1851.92,TRY,purchase
508,87,84,2026-02-04,2179.41,TRY,purchase
509,756,37,2026-03-30,4392.84,TRY,purchase
510,540,22,2025-01-30,265.38,TRY,refund
511,882,42,2026-05-03,3281.01,TRY,transfer
512,958,35,2026-07-16,3125.02,TRY,transfer
513,553,23,2026-08-29,4191.14,TRY,transfer
514,767,82,2026-08-01,3056.14,TRY,transfer
515,655,69,2025-11-14,6364.28,TRY,refund
516,553,30,2025-04-02,3104.18,TRY,refund
517,423,34,2025-06-09,2138.94,TRY,purchase
518,536,98,2025-05-20,2420.32,TRY,refund
519,548,2,2026-05-19,6629.76,TRY,refund
520,307,2,2026-03-17,5589.79,TRY,transfer
521,237,1,2026-07-16,2628.03,TRY,refund
522,904,72,2026-03-24,2775.37,TRY,purchase
523,733,95,2026-02-04,5802.42,TRY,purchase
524,270,11,2026-03-09,4384.75,TRY,transfer
525,783,79,2025-10-06,2007.04,TRY,transfer
526,545,35,2026-02-27,1332.24,TRY,purchase
527,187,18,2025-10-24,790.29,TRY,refund
528,633,58,2025-10-06,4909.3,TRY,refund
529,193,42,2025-01-20,1082.0,TRY,transfer
530,23,24,2025-04-15,1989.16,TRY,purchase
531,733,57,2025-01-09,1645.02,TRY,purchase
532,16,64,2025-08-11,2406.55,TRY,refund
533,805,64,2026-01-16,3256.52,TRY,purchase
534,339,11,2025-05-30,411.15,TRY,refund
535,74,70,2026-04-27,1287.59,TRY,refund
536,837,49,2025-01-13,871.29,TRY,transfer
537,255,50,2026-03-30,1745.19,TRY,purchase
538,204,59,2025-04-07,3657.55,TRY,purchase
539,485,50,2025-11-16,6554.78,TRY,purchase
540,645,94,2025-02-13,5218.18,TRY,transfer
541,534,16,2025-09-17,3378.98,TRY,refund
542,204,47,2025-02-23,6048.33,TRY,purchase
543,997,15,2025-08-30,4437.7,TRY,refund
544,16,22,2025-10-10,4101.18,TRY,refund
545,809,32,2025-01-10,6782.47,TRY,transfer
